WB2,MA1,HH6,HH7,windex5,religion,HL11,HL13,Dropout,helevel
15,1,1,55,4,1,1,1,2,1
17,0,2,50,4,1,1,1,2,1
17,0,2,50,4,1,1,1,2,1
17,1,2,50,4,1,1,1,2,1
17,1,2,50,4,1,1,1,2,1
17,1,2,50,4,1,1,1,2,1
17,1,2,50,4,1,1,1,2,1
17,1,2,50,4,1,1,1,2,1
16,1,2,50,4,1,1,1,2,1
16,1,2,50,4,1,1,1,2,1
17,1,1,50,4,1,1,1,2,1
17,0,2,40,4,1,1,1,2,1
16,0,2,40,4,1,1,1,2,1
16,0,2,40,4,1,1,1,2,1
15,0,2,40,4,1,1,1,2,1
17,1,2,40,4,1,1,1,2,1
17,1,2,40,4,1,1,1,2,1
17,1,2,40,4,1,1,1,2,1
17,1,2,40,4,1,1,1,2,1
16,1,2,40,4,1,1,1,2,1
15,1,2,40,4,1,1,1,2,1
15,0,1,40,4,1,1,1,2,1
17,1,1,40,4,1,1,1,2,1
17,1,1,40,4,1,1,1,2,1
15,1,1,40,4,1,1,1,2,1
17,0,2,30,4,1,1,1,2,1
17,0,2,30,4,1,1,1,2,1
17,0,2,30,4,1,1,1,2,1
17,0,2,30,4,1,1,1,2,1
17,0,2,30,4,1,1,1,2,1
17,0,2,30,4,1,1,1,2,1
17,0,2,30,4,1,1,1,2,1
17,0,2,30,4,1,1,1,2,1
17,0,2,30,4,1,1,1,2,1
17,0,2,30,4,1,1,1,2,1
17,0,2,30,4,1,1,1,2,1
17,0,2,30,4,1,1,1,2,1
17,0,2,30,4,1,1,1,2,1
16,0,2,30,4,1,1,1,2,1
16,0,2,30,4,1,1,1,2,1
16,0,2,30,4,1,1,1,2,1
16,0,2,30,4,1,1,1,2,1
16,0,2,30,4,1,1,1,2,1
16,0,2,30,4,1,1,1,2,1
15,0,2,30,4,1,1,1,2,1
15,0,2,30,4,1,1,1,2,1
15,0,2,30,4,1,1,1,2,1
15,0,2,30,4,1,1,1,2,1
15,0,2,30,4,1,1,1,2,1
17,1,2,30,4,1,1,1,2,1
17,1,2,30,4,1,1,1,2,1
17,1,2,30,4,1,1,1,2,1
17,1,2,30,4,1,1,1,2,1
17,1,2,30,4,1,1,1,2,1
16,1,2,30,4,1,1,1,2,1
16,1,2,30,4,1,1,1,2,1
16,1,2,30,4,1,1,1,2,1
15,1,2,30,4,1,1,1,2,1
17,0,1,30,4,1,1,1,2,1
16,0,1,30,4,1,1,1,2,1
